Invoice_ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating;;;;;;;;;;;;;;;;;;
75016718428,2,2,1,74.69,7,261415,5489715,152019,0,547222222222222,522.83,261415,9.1;;;;;;Invoice_ID;Branch;Customer type;1;Unit price;Quantity;Tax 5%;Total;Date;Time;cogs;gross income;Rating
59511115460,2,1,1,96.58,2,9658,202818,3152019,0,425,193.16,9658,5.1;;;;;;64014912076;2;1;2;83.78;8;33.512;703.752;1102019;14:49;670.24;33.512;5.1
18315616882,1,2,1,99.42,4,19884,417564,262019,0,445833333333333,397.68,19884,7.5;;;;;;59511115460;2;1;1;96.58;2;9.658;202.818;3152019;10:12;193.16;9.658;5.1
23211612483,3,2,2,68.12,1,3406,71526,172019,0,519444444444444,68.12,3406,6.8;;;;;;18315616882;1;2;1;99.42;4;19.884;417.564;262019;10:42;397.68;19.884;7.5
12912918530,3,2,1,62.62,5,15655,328755,3102019,0,802083333333333,313.1,15655,7;;;;;;23211612483;3;2;2;68.12;1;3.406;71.526;172019;12:28;68.12;3.406;6.8
27216511806,1,1,1,60.88,9,27396,575316,1152019,0,720138888888889,547.92,27396,4.7;;;;;;12912918530;3;2;1;62.62;5;15.655;328.755;3102019;19:15;313.1;15.655;7
33317317901,1,1,2,54.92,8,21968,461328,3232019,0,558333333333333,439.36,21968,7.6;;;;;;27216511806;1;1;1;60.88;9;27.396;575.316;1152019;17:17;547.92;27.396;4.7
77718217220,3,2,1,30.12,8,12048,253008,332019,0,542361111111111,240.96,12048,7.7;;;;;;33317317901;1;1;2;54.92;8;21.968;461.328;3232019;13:24;439.36;21.968;7.6
28013515823,2,2,2,86.72,1,4336,91056,1172019,0,78125,86.72,4336,7.9;;;;;;77718217220;3;2;1;30.12;8;12.048;253.008;332019;13:01;240.96;12.048;7.7
55415318700,2,2,1,56.11,2,5611,117831,222019,0,424305555555556,112.22,5611,6.3;;;;;;28013515823;2;2;2;86.72;1;4.336;91.056;1172019;18:45;86.72;4.336;7.9
35412515821,3,2,1,69.12,6,20736,435456,282019,0,54375,414.72,20736,5.6;;;;;;55415318700;2;2;1;56.11;2;5.611;117.831;222019;10:11;112.22;5.611;6.3
22819611411,2,2,2,98.7,8,39.48,829.08,342019,0,860416666666667,789.6,39.48,7.6;;;;;;35412515821;3;2;1;69.12;6;20.736;435.456;282019;13:03;414.72;20.736;5.6
61711514209,3,2,1,15.37,2,1537,32277,3162019,0,824305555555556,30.74,1537,7.2;;;;;;22819611411;2;2;2;98.7;8;39.48;829.08;342019;20:39;789.6;39.48;7.6
13213219879,3,2,2,93.96,4,18792,394632,392019,0,75,375.84,18792,9.5;;;;;;61711514209;3;2;1;15.37;2;1.537;32.277;3162019;19:47;30.74;1.537;7.2
37014117321,2,2,1,56.69,9,255105,5357205,2272019,0,725,510.21,255105,8.4;;;;;;13213219879;3;2;2;93.96;4;18.792;394.632;392019;18:00;375.84;18.792;9.5
72714613608,2,2,2,20.01,9,90045,1890945,262019,0,657638888888889,180.09,90045,4.1;;;;;;37014117321;2;2;1;56.69;9;255.105;5.357.205;2272019;17:24;510.21;255.105;8.4
66915411719,2,2,1,18.93,6,5679,119259,2102019,0,53125,113.58,5679,8.1;;;;;;72714613608;2;2;2;20.01;9;90.045;1.890.945;262019;15:47;180.09;90.045;4.1
57412215561,2,2,2,82.63,10,41315,867615,3192019,0,713888888888889,826.3,41315,7.9;;;;;;66915411719;2;2;1;18.93;6;5.679;119.259;2102019;12:45;113.58;5.679;8.1
32617815178,3,2,1,91.4,7,31.99,671.79,232019,0,429861111111111,639.8,31.99,9.5;;;;;;57412215561;2;2;2;82.63;10;41.315;867.615;3192019;17:08;826.3;41.315;7.9
16214818011,3,2,1,44.59,5,111475,2340975,2102019,0,631944444444444,222.95,111475,8.5;;;;;;32617815178;3;2;1;91.4;7;31.99;671.79;232019;10:19;639.8;31.99;9.5
61612412851,1,2,2,17.87,4,3574,75054,3222019,0,6125,71.48,3574,6.5;;;;;;16214818011;3;2;1;44.59;5;111.475;2.340.975;2102019;15:10;222.95;111.475;8.5
77817115554,2,2,2,15.43,1,0.7715,162015,1252019,0,656944444444444,15.43,0.7715,6.1;;;;;;61612412851;1;2;2;17.87;4;3.574;75.054;3222019;14:42;71.48;3.574;6.5
24215516721,3,1,1,16.16,2,1616,33936,372019,0,492361111111111,32.32,1616,6.5;;;;;;77817115554;2;2;2;15.43;1;0.7715;162.015;1252019;15:46;15.43;0.7715;6.1
39914615918,2,1,2,85.98,8,34392,722232,2282019,0,792361111111111,687.84,34392,8.2;;;;;;24215516721;3;1;1;16.16;2;1.616;33.936;372019;11:49;32.32;1.616;6.5
10613516779,3,2,2,44.34,2,4434,93114,3272019,0,476388888888889,88.68,4434,5.8;;;;;;39914615918;2;1;2;85.98;8;34.392;722.232;2282019;19:01;687.84;34.392;8.2
63514016220,1,1,1,89.6,8,35.84,752.64,272019,0,477777777777778,716.8,35.84,6.6;;;;;;10613516779;3;2;2;44.34;2;4.434;93.114;3272019;11:26;88.68;4.434;5.8
81714818732,1,2,2,72.35,10,36175,759675,1202019,0,663194444444444,723.5,36175,5.4;;;;;;63514016220;1;1;1;89.6;8;35.84;752.64;272019;11:28;716.8;35.84;6.6
12010614233,1,1,1,30.61,6,9183,192843,3122019,0,858333333333333,183.66,9183,9.3;;;;;;81714818732;1;2;2;72.35;10;36.175;759.675;1202019;15:55;723.5;36.175;5.4
28516815083,3,2,2,24.74,3,3711,77931,2152019,0,740972222222222,74.22,3711,10;;;;;;12010614233;1;1;1;30.61;6;9.183;192.843;3122019;20:36;183.66;9.183;9.3
80318315989,3,1,1,55.73,6,16719,351099,2242019,0,454861111111111,334.38,16719,7;;;;;;28516815083;3;2;2;24.74;3;3.711;77.931;2152019;17:47;74.22;3.711;10
34713412234,3,2,2,55.07,9,247815,5204115,232019,0,569444444444444,495.63,247815,10;;;;;;80318315989;3;1;1;55.73;6;16.719;351.099;2242019;10:55;334.38;16.719;7
19917518169,2,2,2,15.81,10,7905,166005,362019,0,51875,158.1,7905,8.6;;;;;;34713412234;3;2;2;55.07;9;247.815;5.204.115;232019;13:40;495.63;247.815;10
85312312453,1,2,2,75.74,4,15148,318108,2142019,0,607638888888889,302.96,15148,7.6;;;;;;19917518169;2;2;2;15.81;10;7.905;166.005;362019;12:27;158.1;7.905;8.6
87712213308,2,2,1,15.87,10,7935,166635,3132019,0,694444444444445,158.7,7935,5.8;;;;;;85312312453;1;2;2;75.74;4;15.148;318.108;2142019;14:35;302.96;15.148;7.6
83817814295,1,1,1,33.47,2,3347,70287,2102019,0,654861111111111,66.94,3347,6.7;;;;;;87712213308;2;2;1;15.87;10;7.935;166.635;3132019;16:40;158.7;7.935;5.8
10912812512,3,2,2,97.61,6,29283,614943,172019,0,625694444444444,585.66,29283,9.9;;;;;;83817814295;1;1;1;33.47;2;3.347;70.287;2102019;15:43;66.94;3.347;6.7
23211113025,2,1,1,78.77,10,39385,827085,1242019,0,419444444444444,787.7,39385,6.4;;;;;;10912812512;3;2;2;97.61;6;29.283;614.943;172019;15:01;585.66;29.283;9.9
38210314532,1,2,2,18.33,1,0.9165,192465,222019,0,784722222222222,18.33,0.9165,4.3;;;;;;23211113025;2;1;1;78.77;10;39.385;827.085;1242019;10:04;787.7;39.385;6.4
39316512792,1,1,2,89.48,10,44.74,939.54,162019,0,531944444444444,894.8,44.74,9.6;;;;;;38210314532;1;2;2;18.33;1;0.9165;192.465;222019;18:50;18.33;0.9165;4.3
79611212025,3,1,1,62.12,10,31.06,652.26,2112019,0,679861111111111,621.2,31.06,5.9;;;;;;39316512792;1;1;2;89.48;10;44.74;939.54;162019;12:46;894.8;44.74;9.6
51019516347,3,2,1,48.52,3,7278,152838,352019,0,761805555555556,145.56,7278,4;;;;;;79611212025;3;1;1;62.12;10;31.06;652.26;2112019;16:19;621.2;31.06;5.9
84113516630,2,1,2,75.91,6,22773,478233,392019,0,764583333333333,455.46,22773,8.7;;;;;;51019516347;3;2;1;48.52;3;7.278;152.838;352019;18:17;145.56;7.278;4
28712119091,3,1,1,74.67,9,336015,7056315,1222019,0,454861111111111,672.03,336015,9.4;;;;;;84113516630;2;1;2;75.91;6;22.773;478.233;392019;18:21;455.46;22.773;8.7
73219410499,1,1,2,41.65,10,20825,437325,1132019,0,711111111111111,416.5,20825,5.4;;;;;;28712119091;3;1;1;74.67;9;336.015;7.056.315;1222019;10:55;672.03;336.015;9.4
26311013913,3,2,1,49.04,9,22068,463428,192019,0,597222222222222,441.36,22068,8.6;;;;;;73219410499;1;1;2;41.65;10;20.825;437.325;1132019;17:04;416.5;20.825;5.4
38112010914,3,2,1,20.01,9,90045,1890945,1122019,0,658333333333333,180.09,90045,5.7;;;;;;26311013913;3;2;1;49.04;9;22.068;463.428;192019;14:20;441.36;22.068;8.6
82914911914,1,2,1,78.31,10,39155,822255,352019,0,683333333333333,783.1,39155,6.6;;;;;;38112010914;3;2;1;20.01;9;90.045;1.890.945;1122019;15:48;180.09;90.045;5.7
75610117507,3,1,1,20.38,5,5095,106995,1222019,0,788888888888889,101.9,5095,6;;;;;;82914911914;1;2;1;78.31;10;39.155;822.255;352019;16:24;783.1;39.155;6.6
87017214431,3,1,1,99.19,6,29757,624897,1212019,0,6125,595.14,29757,5.5;;;;;;75610117507;3;1;1;20.38;5;5.095;106.995;1222019;18:56;101.9;5.095;6
84713817188,3,1,2,96.68,3,14502,304542,1262019,0,830555555555556,290.04,14502,6.4;;;;;;87017214431;3;1;1;99.19;6;29.757;624.897;1212019;14:42;595.14;29.757;5.5
48016312856,2,1,1,19.25,8,7.7,161.7,1232019,0,775694444444444,154,7.7,6.6;;;;;;84713817188;3;1;2;96.68;3;14.502;304.542;1262019;19:56;290.04;14.502;6.4
78715610757,3,2,2,80.36,4,16072,337512,2232019,0,78125,321.44,16072,8.3;;;;;;48016312856;2;1;1;19.25;8;7.7;161.7;1232019;18:37;154;7.7;6.6
36013915055,3,2,1,48.91,5,122275,2567775,392019,0,428472222222222,244.55,122275,6.6;;;;;;78715610757;3;2;2;80.36;4;16.072;337.512;2232019;18:45;321.44;16.072;8.3
73015019884,3,1,2,83.06,7,29071,610491,352019,0,604861111111111,581.42,29071,4;;;;;;36013915055;3;2;1;48.91;5;122.275;2.567.775;392019;10:17;244.55;122.275;6.6
36215818315,3,1,2,76.52,5,19.13,401.73,3252019,0,432638888888889,382.6,19.13,9.9;;;;;;73015019884;3;1;2;83.06;7;29.071;610.491;352019;14:31;581.42;29.071;4
63314418566,3,2,2,49.38,7,17283,362943,3272019,0,857638888888889,345.66,17283,7.3;;;;;;36215818315;3;1;2;76.52;5;19.13;401.73;3252019;10:23;382.6;19.13;9.9
50413518843,1,1,1,42.47,1,21235,445935,122019,0,70625,42.47,21235,5.7;;;;;;63314418566;3;2;2;49.38;7;17.283;362.943;3272019;20:35;345.66;17.283;7.3
31816815053,1,1,1,76.99,6,23097,485037,2272019,0,746527777777778,461.94,23097,6.1;;;;;;50413518843;1;1;1;42.47;1;21.235;445.935;122019;16:57;42.47;21.235;5.7
56518015980,2,2,1,47.38,4,9476,198996,1232019,0,434027777777778,189.52,9476,7.1;;;;;;31816815053;1;1;1;76.99;6;23.097;485.037;2272019;17:55;461.94;23.097;6.1
22513210908,3,1,1,44.86,10,22.43,471.03,1262019,0,829166666666667,448.6,22.43,8.2;;;;;;56518015980;2;2;1;47.38;4;9.476;198.996;1232019;10:25;189.52;9.476;7.1
87315110671,3,2,2,21.98,7,7693,161553,1102019,0,695833333333333,153.86,7693,5.1;;;;;;22513210908;3;1;1;44.86;10;22.43;471.03;1262019;19:54;448.6;22.43;8.2
15210819985,1,2,2,64.36,9,28962,608202,3122019,0,50625,579.24,28962,8.6;;;;;;87315110671;3;2;2;21.98;7;7.693;161.553;1102019;16:42;153.86;7.693;5.1
51219110811,2,1,2,89.75,1,44875,942375,262019,0,836805555555555,89.75,44875,6.6;;;;;;15210819985;1;2;2;64.36;9;28.962;608.202;3122019;12:09;579.24;28.962;8.6
59413414444,3,1,2,97.16,1,4858,102018,382019,0,859722222222222,97.16,4858,7.2;;;;;;51219110811;2;1;2;89.75;1;44.875;942.375;262019;20:05;89.75;44.875;6.6
76618517061,1,1,1,87.87,10,43935,922635,3292019,0,434027777777778,878.7,43935,5.1;;;;;;59413414444;3;1;2;97.16;1;4.858;102.018;382019;20:38;97.16;4.858;7.2
87113919221,2,1,2,12.45,6,3735,78435,292019,0,549305555555556,74.7,3735,4.1;;;;;;76618517061;1;1;1;87.87;10;43.935;922.635;3292019;10:25;878.7;43.935;5.1
86519216136,3,1,2,52.75,3,79125,1661625,3232019,0,427777777777778,158.25,79125,9.3;;;;;;87113919221;2;1;2;12.45;6;3.735;78.435;292019;13:11;74.7;3.735;4.1
73310119107,1,1,2,82.7,6,24.81,521.01,352019,0,759722222222222,496.2,24.81,7.4;;;;;;86519216136;3;1;2;52.75;3;79.125;1.661.625;3232019;10:16;158.25;79.125;9.3
16315617055,2,2,2,48.71,1,24355,511455,3262019,0,805555555555555,48.71,24355,4.1;;;;;;73310119107;1;1;2;82.7;6;24.81;521.01;352019;18:14;496.2;24.81;7.4
18919812939,3,1,1,78.55,9,353475,7422975,312019,0,556944444444444,706.95,353475,7.2;;;;;;16315617055;2;2;2;48.71;1;24.355;511.455;3262019;19:20;48.71;24.355;4.1
55112113069,3,1,2,23.07,9,103815,2180115,212019,0,477083333333333,207.63,103815,4.9;;;;;;18919812939;3;1;1;78.55;9;353.475;7.422.975;312019;13:22;706.95;353.475;7.2
21216211842,3,1,2,58.26,6,17478,367038,3282019,0,697222222222222,349.56,17478,9.9;;;;;;55112113069;3;1;2;23.07;9;103.815;2.180.115;212019;11:27;207.63;103.815;4.9
71613911409,1,1,2,30.35,7,106225,2230725,3192019,0,763194444444444,212.45,106225,8;;;;;;21216211842;3;1;2;58.26;6;17.478;367.038;3282019;16:44;349.56;17.478;9.9
70414813927,2,2,2,88.67,10,44335,931035,1122019,0,618055555555556,886.7,44335,7.3;;;;;;71613911409;1;1;2;30.35;7;106.225;2.230.725;3192019;18:19;212.45;106.225;8
62813413388,1,1,2,27.38,6,8214,172494,152019,0,870833333333333,164.28,8214,7.9;;;;;;70414813927;2;2;2;88.67;10;44.335;931.035;1122019;14:50;886.7;44.335;7.3
63017415166,3,1,1,62.13,6,18639,391419,3222019,0,846527777777778,372.78,18639,7.4;;;;;;62813413388;1;1;2;27.38;6;8.214;172.494;152019;20:54;164.28;8.214;7.9
58810117461,1,1,2,33.98,9,15291,321111,3242019,0,446527777777778,305.82,15291,4.2;;;;;;63017415166;3;1;1;62.13;6;18.639;391.419;3222019;20:19;372.78;18.639;7.4
86117710145,3,2,1,81.97,10,40985,860685,332019,0,604166666666667,819.7,40985,9.2;;;;;;58810117461;1;1;2;33.98;9;15.291;321.111;3242019;10:43;305.82;15.291;4.2
47912618945,3,2,1,16.49,2,1649,34629,252019,0,480555555555556,32.98,1649,4.6;;;;;;86117710145;3;2;1;81.97;10;40.985;860.685;332019;14:30;819.7;40.985;9.2
21016715886,2,2,1,98.21,3,147315,3093615,252019,0,445138888888889,294.63,147315,7.8;;;;;;47912618945;3;2;1;16.49;2;1.649;34.629;252019;11:32;32.98;1.649;4.6
22717811148,3,1,2,72.84,7,25494,535374,2152019,0,530555555555556,509.88,25494,8.4;;;;;;21016715886;2;2;1;98.21;3;147.315;3.093.615;252019;10:41;294.63;147.315;7.8
64514411170,2,2,1,58.07,9,261315,5487615,1192019,0,838194444444444,522.63,261315,4.3;;;;;;22717811148;3;1;2;72.84;7;25.494;535.374;2152019;12:44;509.88;25.494;8.4
23710116122,1,2,1,80.79,9,363555,7634655,212019,0,854861111111111,727.11,363555,9.5;;;;;;64514411170;2;2;1;58.07;9;261.315;5.487.615;1192019;20:07;522.63;261.315;4.3
22519811496,3,1,2,27.02,3,4053,85113,322019,0,542361111111111,81.06,4053,7.1;;;;;;23710116122;1;2;1;80.79;9;363.555;7.634.655;212019;20:31;727.11;363.555;9.5
29113211427,3,2,2,21.94,5,5485,115185,352019,0,520138888888889,109.7,5485,5.3;;;;;;22519811496;3;1;2;27.02;3;4.053;85.113;322019;13:01;81.06;4.053;7.1
65916518956,2,2,1,51.36,1,2568,53928,1162019,0,643055555555556,51.36,2568,5.2;;;;;;29113211427;3;2;2;21.94;5;5.485;115.185;352019;12:29;109.7;5.485;5.3
64213212990,2,1,2,10.96,10,5.48,115.08,222019,0,866666666666667,109.6,5.48,6;;;;;;65916518956;2;2;1;51.36;1;2.568;53.928;1162019;15:26;51.36;2.568;5.2
37812412715,1,1,1,53.44,2,5344,112224,1202019,0,859722222222222,106.88,5344,4.1;;;;;;64213212990;2;1;2;10.96;10;5.48;115.08;222019;20:48;109.6;5.48;6
63816017125,2,1,2,99.56,8,39824,836304,2142019,0,710416666666667,796.48,39824,5.2;;;;;;37812412715;1;1;1;53.44;2;5.344;112.224;1202019;20:38;106.88;5.344;4.1
65913611684,1,2,2,57.12,7,19992,419832,1122019,0,501388888888889,399.84,19992,6.5;;;;;;63816017125;2;1;2;99.56;8;39.824;836.304;2142019;17:03;796.48;39.824;5.2
21912219386,3,2,2,99.96,9,44982,944622,392019,0,726388888888889,899.64,44982,4.2;;;;;;65913611684;1;2;2;57.12;7;19.992;419.832;1122019;12:02;399.84;19.992;6.5
33617812147,2,2,1,63.91,8,25564,536844,3132019,0,827777777777778,511.28,25564,4.6;;;;;;21912219386;3;2;2;99.96;9;44.982;944.622;392019;17:26;899.64;44.982;4.2
26812716179,3,2,1,56.47,8,22588,474348,392019,0,622916666666667,451.76,22588,7.3;;;;;;33617812147;2;2;1;63.91;8;25.564;536.844;3132019;19:52;511.28;25.564;4.6
66819018900,2,1,1,93.69,7,327915,6886215,3102019,0,780555555555556,655.83,327915,4.5;;;;;;26812716179;3;2;1;56.47;8;22.588;474.348;392019;14:57;451.76;22.588;7.3
87015413162,1,1,1,32.25,5,80625,1693125,1272019,0,559722222222222,161.25,80625,9;;;;;;66819018900;2;1;1;93.69;7;327.915;6.886.215;3102019;18:44;655.83;327.915;4.5
18910819157,1,1,1,31.73,9,142785,2998485,182019,0,678472222222222,285.57,142785,5.9;;;;;;87015413162;1;1;1;32.25;5;80.625;1.693.125;1272019;13:26;161.25;80.625;9
66318619076,3,2,1,68.54,8,27416,575736,182019,0,664583333333333,548.32,27416,8.5;;;;;;18910819157;1;1;1;31.73;9;142.785;2.998.485;182019;16:17;285.57;142.785;5.9
54918417482,3,1,1,90.28,9,40626,853146,282019,0,46875,812.52,40626,7.2;;;;;;66318619076;3;2;1;68.54;8;27.416;575.736;182019;15:57;548.32;27.416;8.5
19111016171,2,1,1,39.62,7,13867,291207,1252019,0,554166666666667,277.34,13867,7.5;;;;;;54918417482;3;1;1;90.28;9;40.626;853.146;282019;11:15;812.52;40.626;7.2
80217015316,2,2,1,92.13,6,27639,580419,362019,0,856944444444444,552.78,27639,8.3;;;;;;19111016171;2;1;1;39.62;7;13.867;291.207;1252019;13:18;277.34;13.867;7.5
69515110018,1,1,2,34.84,4,6968,146328,2102019,0,775,139.36,6968,7.4;;;;;;80217015316;2;2;1;92.13;6;27.639;580.419;362019;20:34;552.78;27.639;8.3
59018314591,2,2,1,87.45,6,26235,550935,2172019,0,611111111111111,524.7,26235,8.8;;;;;;69515110018;1;1;2;34.84;4;6.968;146.328;2102019;18:36;139.36;6.968;7.4
48317111164,2,1,2,81.3,6,24.39,512.19,382019,0,696527777777778,487.8,24.39,5.3;;;;;;59018314591;2;2;1;87.45;6;26.235;550.935;2172019;14:40;524.7;26.235;8.8
59717817908,3,1,1,90.22,3,13533,284193,2182019,0,81875,270.66,13533,6.2;;;;;;48317111164;2;1;2;81.3;6;24.39;512.19;382019;16:43;487.8;24.39;5.3
70018111757,3,1,1,26.31,5,65775,1381275,1182019,0,874305555555556,131.55,65775,8.8;;;;;;59717817908;3;1;1;90.22;3;13.533;284.193;2182019;19:39;270.66;13.533;6.2
35413915160,1,2,2,34.42,6,10326,216846,2182019,0,652083333333333,206.52,10326,9.8;;;;;;70018111757;3;1;1;26.31;5;65.775;1.381.275;1182019;20:59;131.55;65.775;8.8
24117219525,1,1,2,51.91,10,25955,545055,2162019,0,514583333333333,519.1,25955,8.2;;;;;;35413915160;1;2;2;34.42;6;10.326;216.846;2182019;15:39;206.52;10.326;9.8
57513018091,2,1,1,72.5,8,29,609,3162019,0,809027777777778,580,29,9.2;;;;;;24117219525;1;1;2;51.91;10;25.955;545.055;2162019;12:21;519.1;25.955;8.2
73118119469,1,2,2,89.8,10,44.9,942.9,1232019,0,541666666666667,898,44.9,5.4;;;;;;57513018091;2;1;1;72.5;8;29;609;3162019;19:25;580;29;9.2
28011714359,3,2,1,90.5,10,45.25,950.25,1252019,0,575,905,45.25,8.1;;;;;;73118119469;1;2;2;89.8;10;44.9;942.9;1232019;13:00;898;44.9;5.4
33816512210,3,2,1,68.6,10,34.3,720.3,252019,0,83125,686,34.3,9.1;;;;;;28011714359;3;2;1;90.5;10;45.25;950.25;1252019;13:48;905;45.25;8.1
