Branch;City;Customer type;Gender;Unit price;Quantity;Tax 5%;Total;Time;Payment;cogs;gross income;Rating;;Branch,City,Customer type,Gender,Unit price,Quantity,Tax 5%,Total,Time,Payment,cogs,gross income,Rating
1;1;2;1;24.89;9;112.005;2.352.105;15:36;2;224.01;112.005;7.4;;1,1,2,1,24.89,9,112005,2352105,0,65,2,224.01,112005,7.4
2;3;2;1;94.13;5;235.325;4.941.825;19:39;3;470.65;235.325;4.8;;2,3,2,1,94.13,5,235325,4941825,0,81875,3,470.65,235325,4.8
2;3;1;1;78.07;9;351.315;7.377.615;12:43;2;702.63;351.315;4.5;;2,3,1,1,78.07,9,351315,7377615,0,529861111111111,2,702.63,351315,4.5
2;3;2;1;83.78;8;33.512;703.752;14:49;2;670.24;33.512;5.1;;2,3,2,1,83.78,8,33512,703752,0,617361111111111,2,670.24,33512,5.1
1;1;2;1;96.58;2;9.658;202.818;10:12;3;193.16;9.658;5.1;;1,1,2,1,96.58,2,9658,202818,0,425,3,193.16,9658,5.1
3;2;1;2;99.42;4;19.884;417.564;10:42;1;397.68;19.884;7.5;;3,2,1,2,99.42,4,19884,417564,0,445833333333333,1,397.68,19884,7.5
3;2;1;2;68.12;1;3.406;71.526;12:28;1;68.12;3.406;6.8;;3,2,1,2,68.12,1,3406,71526,0,519444444444444,1,68.12,3406,6.8
1;1;1;1;62.62;5;15.655;328.755;19:15;1;313.1;15.655;7;;1,1,1,1,62.62,5,15655,328755,0,802083333333333,1,313.1,15655,7
1;1;2;2;60.88;9;27.396;575.316;17:17;1;547.92;27.396;4.7;;1,1,2,2,60.88,9,27396,575316,0,720138888888889,1,547.92,27396,4.7
3;2;2;2;54.92;8;21.968;461.328;13:24;1;439.36;21.968;7.6;;3,2,2,2,54.92,8,21968,461328,0,558333333333333,1,439.36,21968,7.6
2;3;1;1;30.12;8;12.048;253.008;13:01;2;240.96;12.048;7.7;;2,3,1,1,30.12,8,12048,253008,0,542361111111111,2,240.96,12048,7.7
2;3;1;2;86.72;1;4.336;91.056;18:45;1;86.72;4.336;7.9;;2,3,1,2,86.72,1,4336,91056,0,78125,1,86.72,4336,7.9
3;2;1;1;56.11;2;5.611;117.831;10:11;2;112.22;5.611;6.3;;3,2,1,1,56.11,2,5611,117831,0,424305555555556,2,112.22,5611,6.3
2;3;1;2;69.12;6;20.736;435.456;13:03;2;414.72;20.736;5.6;;2,3,1,2,69.12,6,20736,435456,0,54375,2,414.72,20736,5.6
3;2;1;2;98.7;8;39.48;829.08;20:39;2;789.6;39.48;7.6;;3,2,1,2,98.7,8,39.48,829.08,0,860416666666667,2,789.6,39.48,7.6
3;2;1;1;15.37;2;1.537;32.277;19:47;2;30.74;1.537;7.2;;3,2,1,1,15.37,2,1537,32277,0,824305555555556,2,30.74,1537,7.2
2;3;1;2;93.96;4;18.792;394.632;18:00;2;375.84;18.792;9.5;;2,3,1,2,93.96,4,18792,394632,0,75,2,375.84,18792,9.5
2;3;1;1;56.69;9;255.105;5.357.205;17:24;3;510.21;255.105;8.4;;2,3,1,1,56.69,9,255105,5357205,0,725,3,510.21,255105,8.4
2;3;1;2;20.01;9;90.045;1.890.945;15:47;1;180.09;90.045;4.1;;2,3,1,2,20.01,9,90045,1890945,0,657638888888889,1,180.09,90045,4.1
2;3;1;1;18.93;6;5.679;119.259;12:45;3;113.58;5.679;8.1;;2,3,1,1,18.93,6,5679,119259,0,53125,3,113.58,5679,8.1
3;2;1;2;82.63;10;41.315;867.615;17:08;1;826.3;41.315;7.9;;3,2,1,2,82.63,10,41315,867615,0,713888888888889,1,826.3,41315,7.9
3;2;1;1;91.4;7;31.99;671.79;10:19;2;639.8;31.99;9.5;;3,2,1,1,91.4,7,31.99,671.79,0,429861111111111,2,639.8,31.99,9.5
1;1;1;2;44.59;5;111.475;2.340.975;15:10;2;222.95;111.475;8.5;;1,1,1,2,44.59,5,111475,2340975,0,631944444444444,2,222.95,111475,8.5
2;3;1;2;17.87;4;3.574;75.054;14:42;1;71.48;3.574;6.5;;2,3,1,2,17.87,4,3574,75054,0,6125,1,71.48,3574,6.5
3;2;1;1;15.43;1;0.7715;162.015;15:46;3;15.43;0.7715;6.1;;3,2,1,1,15.43,1,0.7715,162015,0,656944444444444,3,15.43,0.7715,6.1
2;3;2;1;16.16;2;1.616;33.936;11:49;1;32.32;1.616;6.5;;2,3,2,1,16.16,2,1616,33936,0,492361111111111,1,32.32,1616,6.5
3;2;2;2;85.98;8;34.392;722.232;19:01;2;687.84;34.392;8.2;;3,2,2,2,85.98,8,34392,722232,0,792361111111111,2,687.84,34392,8.2
1;1;1;1;44.34;2;4.434;93.114;11:26;2;88.68;4.434;5.8;;1,1,1,1,44.34,2,4434,93114,0,476388888888889,2,88.68,4434,5.8
1;1;2;1;89.6;8;35.84;752.64;11:28;1;716.8;35.84;6.6;;1,1,2,1,89.6,8,35.84,752.64,0,477777777777778,1,716.8,35.84,6.6
1;1;1;2;72.35;10;36.175;759.675;15:55;2;723.5;36.175;5.4;;1,1,1,2,72.35,10,36175,759675,0,663194444444444,2,723.5,36175,5.4
3;2;2;1;30.61;6;9.183;192.843;20:36;2;183.66;9.183;9.3;;3,2,2,1,30.61,6,9183,192843,0,858333333333333,2,183.66,9183,9.3
3;2;1;2;24.74;3;3.711;77.931;17:47;3;74.22;3.711;10;;3,2,1,2,24.74,3,3711,77931,0,740972222222222,3,74.22,3711,10
3;2;2;1;55.73;6;16.719;351.099;10:55;1;334.38;16.719;7;;3,2,2,1,55.73,6,16719,351099,0,454861111111111,1,334.38,16719,7
2;3;1;2;55.07;9;247.815;5.204.115;13:40;1;495.63;247.815;10;;2,3,1,2,55.07,9,247815,5204115,0,569444444444444,1,495.63,247815,10
1;1;1;1;15.81;10;7.905;166.005;12:27;3;158.1;7.905;8.6;;1,1,1,1,15.81,10,7905,166005,0,51875,3,158.1,7905,8.6
2;3;1;1;75.74;4;15.148;318.108;14:35;2;302.96;15.148;7.6;;2,3,1,1,75.74,4,15148,318108,0,607638888888889,2,302.96,15148,7.6
1;1;1;1;15.87;10;7.935;166.635;16:40;2;158.7;7.935;5.8;;1,1,1,1,15.87,10,7935,166635,0,694444444444445,2,158.7,7935,5.8
3;2;2;2;33.47;2;3.347;70.287;15:43;1;66.94;3.347;6.7;;3,2,2,2,33.47,2,3347,70287,0,654861111111111,1,66.94,3347,6.7
2;3;1;2;97.61;6;29.283;614.943;15:01;1;585.66;29.283;9.9;;2,3,1,2,97.61,6,29283,614943,0,625694444444444,1,585.66,29283,9.9
1;1;2;1;78.77;10;39.385;827.085;10:04;2;787.7;39.385;6.4;;1,1,2,1,78.77,10,39385,827085,0,419444444444444,2,787.7,39385,6.4
1;1;1;2;18.33;1;0.9165;192.465;18:50;2;18.33;0.9165;4.3;;1,1,1,2,18.33,1,0.9165,192465,0,784722222222222,2,18.33,0.9165,4.3
3;2;2;1;89.48;10;44.74;939.54;12:46;3;894.8;44.74;9.6;;3,2,2,1,89.48,10,44.74,939.54,0,531944444444444,3,894.8,44.74,9.6
3;2;2;1;62.12;10;31.06;652.26;16:19;2;621.2;31.06;5.9;;3,2,2,1,62.12,10,31.06,652.26,0,679861111111111,2,621.2,31.06,5.9
2;3;1;2;48.52;3;7.278;152.838;18:17;1;145.56;7.278;4;;2,3,1,2,48.52,3,7278,152838,0,761805555555556,1,145.56,7278,4
3;2;2;2;75.91;6;22.773;478.233;18:21;2;455.46;22.773;8.7;;3,2,2,2,75.91,6,22773,478233,0,764583333333333,2,455.46,22773,8.7
1;1;2;1;74.67;9;336.015;7.056.315;10:55;1;672.03;336.015;9.4;;1,1,2,1,74.67,9,336015,7056315,0,454861111111111,1,672.03,336015,9.4
3;2;2;2;41.65;10;20.825;437.325;17:04;3;416.5;20.825;5.4;;3,2,2,2,41.65,10,20825,437325,0,711111111111111,3,416.5,20825,5.4
3;2;1;1;49.04;9;22.068;463.428;14:20;3;441.36;22.068;8.6;;3,2,1,1,49.04,9,22068,463428,0,597222222222222,3,441.36,22068,8.6
1;1;1;2;20.01;9;90.045;1.890.945;15:48;3;180.09;90.045;5.7;;1,1,1,2,20.01,9,90045,1890945,0,658333333333333,3,180.09,90045,5.7
3;2;1;2;78.31;10;39.155;822.255;16:24;1;783.1;39.155;6.6;;3,2,1,2,78.31,10,39155,822255,0,683333333333333,1,783.1,39155,6.6
3;2;2;2;20.38;5;5.095;106.995;18:56;2;101.9;5.095;6;;3,2,2,2,20.38,5,5095,106995,0,788888888888889,2,101.9,5095,6
3;2;2;2;99.19;6;29.757;624.897;14:42;3;595.14;29.757;5.5;;3,2,2,2,99.19,6,29757,624897,0,6125,3,595.14,29757,5.5
2;3;2;2;96.68;3;14.502;304.542;19:56;1;290.04;14.502;6.4;;2,3,2,2,96.68,3,14502,304542,0,830555555555556,1,290.04,14502,6.4
3;2;2;1;19.25;8;7.7;161.7;18:37;1;154;7.7;6.6;;3,2,2,1,19.25,8,7.7,161.7,0,775694444444444,1,154,7.7,6.6
3;2;1;2;80.36;4;16.072;337.512;18:45;3;321.44;16.072;8.3;;3,2,1,2,80.36,4,16072,337512,0,78125,3,321.44,16072,8.3
3;2;1;1;48.91;5;122.275;2.567.775;10:17;2;244.55;122.275;6.6;;3,2,1,1,48.91,5,122275,2567775,0,428472222222222,2,244.55,122275,6.6
3;2;2;2;83.06;7;29.071;610.491;14:31;1;581.42;29.071;4;;3,2,2,2,83.06,7,29071,610491,0,604861111111111,1,581.42,29071,4
3;2;2;1;76.52;5;19.13;401.73;10:23;2;382.6;19.13;9.9;;3,2,2,1,76.52,5,19.13,401.73,0,432638888888889,2,382.6,19.13,9.9
1;1;1;1;49.38;7;17.283;362.943;20:35;3;345.66;17.283;7.3;;1,1,1,1,49.38,7,17283,362943,0,857638888888889,3,345.66,17283,7.3
1;1;2;1;42.47;1;21.235;445.935;16:57;2;42.47;21.235;5.7;;1,1,2,1,42.47,1,21235,445935,0,70625,2,42.47,21235,5.7
2;3;2;2;76.99;6;23.097;485.037;17:55;2;461.94;23.097;6.1;;2,3,2,2,76.99,6,23097,485037,0,746527777777778,2,461.94,23097,6.1
3;2;1;2;47.38;4;9.476;198.996;10:25;2;189.52;9.476;7.1;;3,2,1,2,47.38,4,9476,198996,0,434027777777778,2,189.52,9476,7.1
3;2;2;2;44.86;10;22.43;471.03;19:54;1;448.6;22.43;8.2;;3,2,2,2,44.86,10,22.43,471.03,0,829166666666667,1,448.6,22.43,8.2
1;1;1;2;21.98;7;7.693;161.553;16:42;1;153.86;7.693;5.1;;1,1,1,2,21.98,7,7693,161553,0,695833333333333,1,153.86,7693,5.1
2;3;1;1;64.36;9;28.962;608.202;12:09;3;579.24;28.962;8.6;;2,3,1,1,64.36,9,28962,608202,0,50625,3,579.24,28962,8.6
3;2;2;1;89.75;1;44.875;942.375;20:05;3;89.75;44.875;6.6;;3,2,2,1,89.75,1,44875,942375,0,836805555555555,3,89.75,44875,6.6
1;1;2;1;97.16;1;4.858;102.018;20:38;1;97.16;4.858;7.2;;1,1,2,1,97.16,1,4858,102018,0,859722222222222,1,97.16,4858,7.2
2;3;2;1;87.87;10;43.935;922.635;10:25;1;878.7;43.935;5.1;;2,3,2,1,87.87,10,43935,922635,0,434027777777778,1,878.7,43935,5.1
3;2;2;2;12.45;6;3.735;78.435;13:11;2;74.7;3.735;4.1;;3,2,2,2,12.45,6,3735,78435,0,549305555555556,2,74.7,3735,4.1
1;1;2;1;52.75;3;79.125;1.661.625;10:16;1;158.25;79.125;9.3;;1,1,2,1,52.75,3,79125,1661625,0,427777777777778,1,158.25,79125,9.3
2;3;2;1;82.7;6;24.81;521.01;18:14;2;496.2;24.81;7.4;;2,3,2,1,82.7,6,24.81,521.01,0,759722222222222,2,496.2,24.81,7.4
3;2;1;1;48.71;1;24.355;511.455;19:20;2;48.71;24.355;4.1;;3,2,1,1,48.71,1,24355,511455,0,805555555555555,2,48.71,24355,4.1
3;2;2;1;78.55;9;353.475;7.422.975;13:22;2;706.95;353.475;7.2;;3,2,2,1,78.55,9,353475,7422975,0,556944444444444,2,706.95,353475,7.2
3;2;2;2;23.07;9;103.815;2.180.115;11:27;2;207.63;103.815;4.9;;3,2,2,2,23.07,9,103815,2180115,0,477083333333333,2,207.63,103815,4.9
1;1;2;1;58.26;6;17.478;367.038;16:44;2;349.56;17.478;9.9;;1,1,2,1,58.26,6,17478,367038,0,697222222222222,2,349.56,17478,9.9
2;3;2;1;30.35;7;106.225;2.230.725;18:19;2;212.45;106.225;8;;2,3,2,1,30.35,7,106225,2230725,0,763194444444444,2,212.45,106225,8
1;1;1;1;88.67;10;44.335;931.035;14:50;1;886.7;44.335;7.3;;1,1,1,1,88.67,10,44335,931035,0,618055555555556,1,886.7,44335,7.3
3;2;2;1;27.38;6;8.214;172.494;20:54;3;164.28;8.214;7.9;;3,2,2,1,27.38,6,8214,172494,0,870833333333333,3,164.28,8214,7.9
1;1;2;1;62.13;6;18.639;391.419;20:19;2;372.78;18.639;7.4;;1,1,2,1,62.13,6,18639,391419,0,846527777777778,2,372.78,18639,7.4
3;2;2;2;33.98;9;15.291;321.111;10:43;2;305.82;15.291;4.2;;3,2,2,2,33.98,9,15291,321111,0,446527777777778,2,305.82,15291,4.2
3;2;1;1;81.97;10;40.985;860.685;14:30;2;819.7;40.985;9.2;;3,2,1,1,81.97,10,40985,860685,0,604166666666667,2,819.7,40985,9.2
2;3;1;2;16.49;2;1.649;34.629;11:32;1;32.98;1.649;4.6;;2,3,1,2,16.49,2,1649,34629,0,480555555555556,1,32.98,1649,4.6
3;2;1;2;98.21;3;147.315;3.093.615;10:41;3;294.63;147.315;7.8;;3,2,1,2,98.21,3,147315,3093615,0,445138888888889,3,294.63,147315,7.8
2;3;2;2;72.84;7;25.494;535.374;12:44;2;509.88;25.494;8.4;;2,3,2,2,72.84,7,25494,535374,0,530555555555556,2,509.88,25494,8.4
1;1;1;1;58.07;9;261.315;5.487.615;20:07;1;522.63;261.315;4.3;;1,1,1,1,58.07,9,261315,5487615,0,838194444444444,1,522.63,261315,4.3
3;2;1;2;80.79;9;363.555;7.634.655;20:31;3;727.11;363.555;9.5;;3,2,1,2,80.79,9,363555,7634655,0,854861111111111,3,727.11,363555,9.5
3;2;2;2;27.02;3;4.053;85.113;13:01;3;81.06;4.053;7.1;;3,2,2,2,27.02,3,4053,85113,0,542361111111111,3,81.06,4053,7.1
2;3;1;1;21.94;5;5.485;115.185;12:29;1;109.7;5.485;5.3;;2,3,1,1,21.94,5,5485,115185,0,520138888888889,1,109.7,5485,5.3
2;3;1;1;51.36;1;2.568;53.928;15:26;1;51.36;2.568;5.2;;2,3,1,1,51.36,1,2568,53928,0,643055555555556,1,51.36,2568,5.2
1;1;2;2;10.96;10;5.48;115.08;20:48;1;109.6;5.48;6;;1,1,2,2,10.96,10,5.48,115.08,0,866666666666667,1,109.6,5.48,6
2;3;2;1;53.44;2;5.344;112.224;20:38;1;106.88;5.344;4.1;;2,3,2,1,53.44,2,5344,112224,0,859722222222222,1,106.88,5344,4.1
1;1;2;2;99.56;8;39.824;836.304;17:03;3;796.48;39.824;5.2;;1,1,2,2,99.56,8,39824,836304,0,710416666666667,3,796.48,39824,5.2
3;2;1;1;57.12;7;19.992;419.832;12:02;3;399.84;19.992;6.5;;3,2,1,1,57.12,7,19992,419832,0,501388888888889,3,399.84,19992,6.5
2;3;1;1;99.96;9;44.982;944.622;17:26;3;899.64;44.982;4.2;;2,3,1,1,99.96,9,44982,944622,0,726388888888889,3,899.64,44982,4.2
3;2;1;1;63.91;8;25.564;536.844;19:52;3;511.28;25.564;4.6;;3,2,1,1,63.91,8,25564,536844,0,827777777777778,3,511.28,25564,4.6
2;3;1;2;56.47;8;22.588;474.348;14:57;1;451.76;22.588;7.3;;2,3,1,2,56.47,8,22588,474348,0,622916666666667,1,451.76,22588,7.3
1;1;2;2;93.69;7;327.915;6.886.215;18:44;3;655.83;327.915;4.5;;1,1,2,2,93.69,7,327915,6886215,0,780555555555556,3,655.83,327915,4.5
1;1;2;2;32.25;5;80.625;1.693.125;13:26;2;161.25;80.625;9;;1,1,2,2,32.25,5,80625,1693125,0,559722222222222,2,161.25,80625,9
3;2;2;2;31.73;9;142.785;2.998.485;16:17;3;285.57;142.785;5.9;;3,2,2,2,31.73,9,142785,2998485,0,678472222222222,3,285.57,142785,5.9
3;2;1;2;68.54;8;27.416;575.736;15:57;1;548.32;27.416;8.5;;3,2,1,2,68.54,8,27416,575736,0,664583333333333,1,548.32,27416,8.5
2;3;2;2;90.28;9;40.626;853.146;11:15;1;812.52;40.626;7.2;;2,3,2,2,90.28,9,40626,853146,0,46875,1,812.52,40626,7.2
2;3;2;2;39.62;7;13.867;291.207;13:18;2;277.34;13.867;7.5;;2,3,2,2,39.62,7,13867,291207,0,554166666666667,2,277.34,13867,7.5
1;1;1;2;92.13;6;27.639;580.419;20:34;2;552.78;27.639;8.3;;1,1,1,2,92.13,6,27639,580419,0,856944444444444,2,552.78,27639,8.3
2;3;2;2;34.84;4;6.968;146.328;18:36;2;139.36;6.968;7.4;;2,3,2,2,34.84,4,6968,146328,0,775,2,139.36,6968,7.4
2;3;1;1;87.45;6;26.235;550.935;14:40;3;524.7;26.235;8.8;;2,3,1,1,87.45,6,26235,550935,0,611111111111111,3,524.7,26235,8.8
3;2;2;2;81.3;6;24.39;512.19;16:43;1;487.8;24.39;5.3;;3,2,2,2,81.3,6,24.39,512.19,0,696527777777778,1,487.8,24.39,5.3
3;2;2;1;90.22;3;13.533;284.193;19:39;2;270.66;13.533;6.2;;3,2,2,1,90.22,3,13533,284193,0,81875,2,270.66,13533,6.2
1;1;2;2;26.31;5;65.775;1.381.275;20:59;3;131.55;65.775;8.8;;1,1,2,2,26.31,5,65775,1381275,0,874305555555556,3,131.55,65775,8.8
1;1;1;2;34.42;6;10.326;216.846;15:39;2;206.52;10.326;9.8;;1,1,1,2,34.42,6,10326,216846,0,652083333333333,2,206.52,10326,9.8
2;3;2;1;51.91;10;25.955;545.055;12:21;2;519.1;25.955;8.2;;2,3,2,1,51.91,10,25955,545055,0,514583333333333,2,519.1,25955,8.2
1;1;2;1;72.5;8;29;609;19:25;1;580;29;9.2;;1,1,2,1,72.5,8,29,609,0,809027777777778,1,580,29,9.2
3;2;1;2;89.8;10;44.9;942.9;13:00;3;898;44.9;5.4;;3,2,1,2,89.8,10,44.9,942.9,0,541666666666667,3,898,44.9,5.4
3;2;1;1;90.5;10;45.25;950.25;13:48;2;905;45.25;8.1;;3,2,1,1,90.5,10,45.25,950.25,0,575,2,905,45.25,8.1
3;2;1;2;68.6;10;34.3;720.3;19:57;2;686;34.3;9.1;;3,2,1,2,68.6,10,34.3,720.3,0,83125,2,686,34.3,9.1
3;2;1;2;30.41;1;15.205;319.305;10:36;3;30.41;15.205;8.4;;3,2,1,2,30.41,1,15205,319305,0,441666666666667,3,30.41,15205,8.4
1;1;2;2;77.95;6;23.385;491.085;16:37;1;467.7;23.385;8;;1,1,2,2,77.95,6,23385,491085,0,692361111111111,1,467.7,23385,8
3;2;2;2;46.26;6;13.878;291.438;17:11;3;277.56;13.878;9.5;;3,2,2,2,46.26,6,13878,291438,0,715972222222222,3,277.56,13878,9.5
1;1;1;2;30.14;10;15.07;316.47;12:28;1;301.4;15.07;9.2;;1,1,1,2,30.14,10,15.07,316.47,0,519444444444444,1,301.4,15.07,9.2
3;2;2;1;66.14;4;13.228;277.788;12:46;3;264.56;13.228;5.6;;3,2,2,1,66.14,4,13228,277788,0,531944444444444,3,264.56,13228,5.6
2;3;1;1;71.86;8;28.744;603.624;15:07;3;574.88;28.744;6.2;;2,3,1,1,71.86,8,28744,603624,0,629861111111111,3,574.88,28744,6.2
1;1;2;1;32.46;8;12.984;272.664;13:48;3;259.68;12.984;4.9;;1,1,2,1,32.46,8,12984,272664,0,575,3,259.68,12984,4.9
2;3;1;2;91.54;4;18.308;384.468;19:20;3;366.16;18.308;4.8;;2,3,1,2,91.54,4,18308,384468,0,805555555555555,3,366.16,18308,4.8
3;2;1;1;34.56;7;12.096;254.016;16:07;3;241.92;12.096;7.3;;3,2,1,1,34.56,7,12096,254016,0,671527777777778,3,241.92,12096,7.3
1;1;2;1;83.24;9;37.458;786.618;11:56;3;749.16;37.458;7.4;;1,1,2,1,83.24,9,37458,786618,0,497222222222222,3,749.16,37458,7.4
3;2;2;2;16.48;6;4.944;103.824;18:23;1;98.88;4.944;9.9;;3,2,2,2,16.48,6,4944,103824,0,765972222222222,1,98.88,4944,9.9
3;2;2;2;80.97;8;32.388;680.148;13:05;2;647.76;32.388;9.3;;3,2,2,2,80.97,8,32388,680148,0,545138888888889,2,647.76,32388,9.3
1;1;1;1;92.29;5;230.725;4.845.225;15:55;3;461.45;230.725;9;;1,1,1,1,92.29,5,230725,4845225,0,663194444444444,3,461.45,230725,9
2;3;1;1;72.17;1;36.085;757.785;19:40;2;72.17;36.085;6.1;;2,3,1,1,72.17,1,36085,757785,0,819444444444445,2,72.17,36085,6.1
2;3;2;1;50.28;5;12.57;263.97;13:58;1;251.4;12.57;9.7;;2,3,2,1,50.28,5,12.57,263.97,0,581944444444444,1,251.4,12.57,9.7
2;3;1;1;97.22;9;43.749;918.729;14:43;1;874.98;43.749;6;;2,3,1,1,97.22,9,43749,918729,0,613194444444444,1,874.98,43749,6
2;3;2;1;93.39;6;28.017;588.357;19:18;1;560.34;28.017;10;;2,3,2,1,93.39,6,28017,588357,0,804166666666667,1,560.34,28017,10
3;2;2;2;43.18;8;17.272;362.712;19:39;3;345.44;17.272;8.3;;3,2,2,2,43.18,8,17272,362712,0,81875,3,345.44,17272,8.3
1;1;2;1;63.69;1;31.845;668.745;16:21;2;63.69;31.845;6;;1,1,2,1,63.69,1,31845,668745,0,68125,2,63.69,31845,6
1;1;2;1;45.79;7;160.265;3.365.565;19:44;3;320.53;160.265;7;;1,1,2,1,45.79,7,160265,3365565,0,822222222222222,3,320.53,160265,7
3;2;2;1;76.4;2;7.64;160.44;19:42;1;152.8;7.64;6.5;;3,2,2,1,76.4,2,7.64,160.44,0,820833333333333,1,152.8,7.64,6.5
2;3;2;1;39.9;10;19.95;418.95;15:24;3;399;19.95;5.9;;2,3,2,1,39.9,10,19.95,418.95,0,641666666666667,3,399,19.95,5.9
2;3;1;1;42.57;8;17.028;357.588;14:12;1;340.56;17.028;5.6;;2,3,1,1,42.57,8,17028,357588,0,591666666666667,1,340.56,17028,5.6
3;2;2;1;95.58;10;47.79;1003.59;13:32;2;955.8;47.79;4.8;;3,2,2,1,95.58,10,47.79,1003.59,0,563888888888889,2,955.8,47.79,4.8
1;1;2;1;98.98;10;49.49;1039.29;16:20;3;989.8;49.49;8.7;;1,1,2,1,98.98,10,49.49,1039.29,0,680555555555555,3,989.8,49.49,8.7
